Anno,Asset,Ricavi_Totali,Costi_Personale_Totali,Costi_Totali,Margine_Totale,Margine_Percentuale,Personale_su_Ricavi_Pct,Mesi_con_Dati
2024,CVM,159267.5,22903.545323741004,100618.7456845999,58648.7543154001,36.8,14.4,8
2024,HOTEL,1895288.27,217583.6805755396,1003672.2201139476,891616.0498860526,47.0,11.5,8
2024,RESIDENCE_ANGELINA,833192.1900000001,157461.87410071943,619766.8242014527,213425.36579854743,25.6,18.9,8
2025,CVM,147509.71000000002,51358.229999999996,150867.07611650482,-3357.3661165048516,-2.3,34.8,8
2025,HOTEL,2189483.0500000003,487903.14,1537560.2931067962,651922.7568932038,29.8,22.3,8
2025,RESIDENCE_ANGELINA,389837.13,121975.78,361198.010776699,28639.11922330097,7.3,31.3,8
